Id,	OverallQual, GrLivArea,	BedroomAbvGr,	FullBath,	HalfBath,	YearBuilt,	YearRemodAdd,	TotalBsmtSF,	GarageCars,	GarageArea,	LotArea,	Neighborhood,	HouseStyle,	ExteriorQuality,	SalePrice
1	1	2572	4	3	1	2015	2015	231	2	186	3639	Edwards	1.5Fin	Fair	316418
2	8	1467	4	2	1	1956	1956	1198	1	16	15794	OldTown	SLvl	Excellent	451629
3	7	1339	5	3	1	2006	2006	1638	0	437	17743	NAmes	1Story	Excellent	472349
4	5	1722	5	3	1	1988	1988	155	0	271	22374	NAmes	1Story	Excellent	387909
5	5	2850	4	1	0	2007	2008	973	2	28	17807	Somerst	1Story	Fair	481417
6	9	1394	2	2	0	1984	1996	645	2	778	6864	Somerst	2Story	Fair	480237
7	1	4149	3	1	0	1962	2009	98	2	600	11954	Edwards	2Story	Excellent	365529
8	7	2367	3	2	1	2007	2007	2010	0	910	14148	NridgHt	1Story	Poor	552547
9	3	3940	4	1	0	1997	1997	1112	2	480	29543	NAmes	1.5Fin	Excellent	500859
10	1	3202	5	3	0	1985	1985	1880	0	438	16677	Somerst	1Story	Good	431280
11	6	1767	2	1	0	1978	1984	1468	0	843	19597	Somerst	SLvl	Good	457829
12	10	1336	3	2	1	1976	1980	2190	1	81	22464	CollgCr	1.5Fin	Typical	518660
13	8	3450	1	1	1	1986	2010	2493	2	362	11824	Edwards	SLvl	Excellent	610434
14	8	1756	4	3	1	1969	1981	1505	2	799	28987	Somerst	1Story	Good	548940
15	8	1412	3	3	1	1971	2015	880	3	292	20735	Edwards	SLvl	Poor	411004
16	8	4215	3	3	0	1971	1971	1057	3	886	25676	CollgCr	1.5Fin	Typical	630477
17	6	2379	3	2	0	1950	1979	2064	1	284	22853	Edwards	SLvl	Excellent	491564
18	2	599	2	1	0	2020	2020	1067	3	414	19213	Somerst	1.5Fin	Poor	259758
19	9	2429	3	3	1	1967	1967	1299	0	898	2380	NAmes	1.5Fin	Good	543461
20	5	2289	4	2	1	1962	1974	485	3	243	18134	Edwards	1Story	Fair	399675
21	6	3943	2	3	0	1961	2007	2476	1	969	5191	Edwards	1.5Fin	Typical	505595
22	4	3318	1	3	0	2025	2025	1627	3	44	18691	OldTown	2Story		441159
23	2	1184	2	2	0	1986	2009		3	266	21490	NAmes	SLvl	Typical	284551
24	10	1017	1	3	1	1974	1989	1463	2	591	17038	NAmes	1.5Fin	Poor	451427
25	8	2875	2	3	0	1980	2015	1003	3	594	10290	Somerst	1Story	Poor	533320
26	7	594	4	2	1	1956	2016	387	0	910	3191	Somerst	SLvl	Good	381962
27	5	1708	1	1	0	1973	2024	2187	0	960	20625	OldTown	1Story	Excellent	387183
28	9	966	4	1	1	1968	1968	2215	2	678	21402	NridgHt	2Story	Fair	557798
29	6	484	2	2	1	2011	2011	2088	2	660	15121	NridgHt	1Story	Excellent	505474
30	5	4168	5	2	0	1954	1958	921	0	317	21916	Edwards	SLvl	Typical	487468
31	5	768	4	1	1	1982	1982	641	2	806	23705	Edwards	1Story	Poor	287374
32	3	437	2	1	1	2010	2010	124	0	643	16106	NridgHt	SLvl	Typical	296492
33	1	4225	3	3	1	2013	2013	1829	3	24	2858	Edwards	1Story	Excellent	456096
34	6	1172	1	3	1	1988	1988	820	0	832	26306	NridgHt	1.5Fin	Fair	454720
35	9	3748	1	1	0	1966	2015	2231	1	360	14802	NridgHt	1Story	Excellent	738260
36	1	528	5	2	0	1975	1975	2175	3	476	20665	CollgCr	2Story	Good	292242
37	9	1029	5	1	1	1966	1996	320	2	486	27462	Edwards	1.5Fin	Fair	410474
38	9	853	1	3	0	2000	2008	2293	2	820	11836	Somerst	1.5Fin	Good	538472
39	3	3296	2	3	0	1972	2024	350	2	268	19227	Somerst	SLvl	Typical	452381
40	7	2943	1	3	0	1997	1997	1226	3	392	2061	OldTown	SLvl	Poor	433201
41	2	2350	2	2	0	1999	2005	1185	1	39	26724	NridgHt	1.5Fin	Excellent	443408
42	8	1390	2	2	0	2021	2021	2391	3	348	3186	OldTown	2Story		417906
43	8	764	2	3	0	1978	1991	1643	2	88	16922	OldTown	2Story	Typical	378354
44	4	2734	3	2	1	2023	2023	2188	3	583	11526	NAmes	SLvl	Good	483827
45	1	1346	1	2	1	1980	2022	1490	2	894	2519	CollgCr	1.5Fin		259742
46	10	2820	5	3	0	2001	2008	2063	0	465	14670	NridgHt	SLvl	Good	682035
47	5	3219	4	2	0	2000	2020	2131	2	913	28165	Somerst	2Story	Fair	536167
48	9	3883	4	3	1	2012	2014	2150	3	978	6255	Somerst	2Story		697665
49	7	2425	1	2	0	1985	1985	1029	0	53	9830	NridgHt	SLvl	Typical	526442
50	8	419	4	3	0	2010	2010	955	3	516	6896	CollgCr	1.5Fin	Good	442106
51	8	1551	5	1	0	1977	1977	2463	0	528	5061	Edwards	1Story	Poor	389789
52	2	3899	1	1	0	1987	1992	1891	3	385	8061	OldTown	1.5Fin	Poor	324442
53	4	2586	4	1	0	1987	1987	2294	3	831	17797	NridgHt	1Story	Typical	518190
54	5	2939	2	2	0	2003	2005	1443	0	395	23745	OldTown	SLvl	Poor	386784
55	5	2277	4	3	1	1996	2023	2323	2	55	21174	NridgHt	1Story	Fair	520141
56	1	1067	3	1	1	1955	2001	1799	0	548	23482	Somerst	SLvl	Good	276998
57	6	4077	5	1	0	2011	2013	1857	2	202	21895	Somerst	SLvl	Excellent	678509
58	2	3569	1	3	1	2007	2007	444	3	355	12414	NridgHt	1Story	Good	482794
59	8	4481	2	3	1	1957	2025	1417	0	502	27157	Somerst	1.5Fin	Fair	637308
60	7	3908	2	2	0	2023	2023	1829	0	723	6412	CollgCr	1Story	Excellent	654881
61	10	1593	2	2	0	2000	2001	1903	1	278	21444	Edwards	2Story	Typical	507858
62	8	1442	2	2	1	1956	2008	2394	1	381	4660	OldTown	2Story	Poor	392810
63	4	1418	2	1	0	1987	1998	817	0	67	23320	NAmes	1.5Fin	Good	326150
64	10	4167	1	1	0	2013	2013	756	1	384	3983	Edwards	SLvl	Typical	600007
65	5	2683	4	3	0	1971	1996	2424	1	580	7661	OldTown	2Story	Fair	396829
66	4	2263	3	2	0	2020	2020	2466	0	617	12651	OldTown	2Story	Good	408838
67	10	4370	5	3	0	1981	2015	449	1	293	21293	NAmes	1Story	Good	702970
68	4	2874	4	3	0	1967	1986	946	0	60	2798	Edwards	SLvl	Fair	366383
69	1	4129	1	1	0	1977	1988		3	577	8834	Edwards	2Story	Poor	336001
70	5	4438	1	1	1	1989	1989	499	3	656	11008	NAmes	2Story	Typical	524490
71	8	725	3	3	0	2002	2002	1958	1	85	22334	Edwards	1Story		385213
72	2	1882	3	1	1	2020	2020	280	3		28904	CollgCr	2Story	Good	351264
73	5	3410	2	2	1	1964	1964	445	1	95	19004	NAmes	1.5Fin	Typical	423947
